N;Код ПЛ;Вид ПЛ;ПЛ текущий;Код ПЛ Новый;Вид ПЛ новый;ПЛ новый;Код;Контрагент;Работаем с даты:;Головной контрагент;Система ЭД;Регион;Зона региона;Скидка;Менеджер;Макс РЕГ;Тип контрагента;Отсрочка;Ценообразование на отсрочку;Ценообразование на отсрочку рассч;Коэфф;Сумма2013;ЧН 2013;Сумма2014;ЧН 2014;Сумма2015;ЧН 2015;Сумма2016;ЧН 2016;Сумма2017;ЧН 2017;Вид доставки;Оплачивает ПМ;Возмещение;Перевозчик;Количество контрагентов;Аукцион БП 2013;Аукцион БП 2014;Аукцион БП 2015;Аукцион БП 2016;Аукцион БП 2017;Регион код;Аукцион 2013;Аукцион 2014;Аукцион 2015;Аукцион 2016;Аукцион 2017;БП 2013;БП 2014;БП 2015;БП 2016;БП 2017
1;;;;;;;10284;"Омское лекарство ОАО ""АПТЕЧНАЯ СЕТЬ";;"Омское лекарство ОАО ""АПТЕЧНАЯ СЕТЬ";;Омск;;;Зелинская Н.И.;;;;;;;;;;;;;;;;;;ложь ;;;;;;;;;;;;;;;;;;;
2;;;;;;;10330;ГНЦДК Минздрава России ФГБУ;;ГНЦДК Минздрава России ФГБУ;;Нижний Новгород;;;;;;;;;;;;;;;;;;;;;ложь ;;;;;;;;;;;;;;;;;;;
3;;;;;;;10337;Уфимский научно-исследовательский институт глазных болезней Академии наук Республики Башкортостан ГБУЗ;;Уфимский научно-исследовательский институт глазных болезней Академии наук Республики Башкортостан ГБУЗ;;Уфа;;;Никитина С.Ю.;80;;;;;;;;;;;;;;;;;ложь ;;;;;;;;;;;;;;;;;;;
4;;;;;;;10329;АГЕНТСТВО ГОСУДАРСТВЕННОГО ЗАКАЗА КРАСНОЯРСКОГО КРАЯ;;АГЕНТСТВО ГОСУДАРСТВЕННОГО ЗАКАЗА КРАСНОЯРСКОГО КРАЯ;;Красноярск;;;Никитина С.Ю.;;;;;;;;;;;;;;;;;;ложь ;;;;;;;;;;;;;;;;;;;
5;;;;;;;10316;Аптека А-7  ООО, г. Грозный;;Аптека А-7  ООО, г. Грозный;;Грозный;;;Кручинкина А.И.;75;;;;;;;;;;;;;;;;;ложь ;;;;;;;;;;;;;;;;;;;
6;;;;;;;10168;Новая жизнь, ООО;;Новая жизнь, ООО;;Москва;;;Хохлова Ю.А.;;;;;;;;;;;;;;;;;;ложь ;;;;;;;;;;;;;;;;;;;
7;;;;;;;10332;МСЧ №57 ФГБУЗ ФМБА;;МСЧ №57 ФГБУЗ ФМБА;;Тверь;;;;;;;;;;;;;;;;;;;;;ложь ;;;;;;;;;;;;;;;;;;;
8; -;;;;;;07520;Тульская областная клиническая психиатрическая больница №1 им. Н.П. Каменева ГУЗ;25.09.2012;Тульская областная клиническая психиатрическая больница №1 им. Н.П. Каменева ГУЗ;;Тульская область;;;Зелинская Н.И.;100;ЛПУ;30;1,80;1,97;;;;;;;;;;637 417,71;30 120,11;АВТО;истина ;;Парма Медикал;1;;;;;637 417,71;000000153;;;;;;;;;;637 417,71
9; -;;;;;;08136;Полис ООО;17.05.2013;Полис ООО;;Ярославская область;;;Носова Е.А.;100;Опт;;;;;;;;;;;2 634 034,15;107 994,88;;;АВТО;ложь ;;Парма Медикал;1;;;;979 370,59;;000000219;;;;;;;;;979 370,59;
10;000137;Опт + Розница;Приморский_30;;;;08271;ЦРА № 29 МУП  г. Спасск-Дальний;24.07.2013;ЦРА № 29 МУП  г. Спасск-Дальний;;Приморский край;;;Назаренко Д.В.;80;Аптека;14;0,80;0,92;;110 992,11;26 869,61;47 467,27;8 971,47;39 262,00;5 273,40;;;;; -;ложь ;;Аэросибсервис;1;;;;;;000000200;;;;;;;;;;
