,drug_cod,drug_x,provider_code,provider_drug_cod,code,drug_y
0,6207, Имудон №24 тб д/расс,0000000000000000000015552,5163,15552,Имудон таб д/рассас №24
1,12134, Глаумакс 0.005% 2.5мл фл-кап кап глаз,0000000000000000000017115,5163,17115,"Глаумакс 0,005% 2,5 мл фл-кап гл капли"
2,3984, Эссенциале форте Н 300мг №30 капс,0000000000000000000012501,5163,12501,Эссенциале-форте Н капс 300 мг №30.
3,15249, Эссенциале форте Н 300мг №30 капс,0000000000000000000012501,5163,12501,Эссенциале-форте Н капс 300 мг №30.
4,4161, Димедрол 50мг №10 тб,0000000000000000000011826,5163,11826,Димедрол таб №10
5,10608, Ибупрофен 5% 50г гель наруж ,0000000000000000000017162,5163,17162,Ибупрофен гель 5% 50г туба
6,6187, Гевискон (мята) 300мл №1 сусп фл,0000000000000000000018329,5163,18329,Гевискон сусп фл 300 мл мятный
7,12156, Нурофен 100мг/5мл 150мл сусп д/приема внутрь апельсин,0000000000000000000017135,5163,17135,Нурофен сусп фл 100 мг/5 мл 150 мл (апельсин) для детей
8,12157, Нурофен 100мг/5мл 150мл сусп д/приема внутрь клубнич ,0000000000000000000017136,5163,17136,Нурофен сусп фл 100 мг/5 мл 150 мл (клубничная) для детей
9,4167, Нормодипин 10мг №30 тб,0000000000000000000004687,5163,4687,Нормодипин таб 10 мг №30
10,4173, Ранитидин 150мг №20 тб пл/о,0000000000000000000008959,5163,8959,Ранитидин таб 150 мг №20 (инд уп)
11,9984, Ацетилсалициловая к-та 500мг №10 тб,0000000000000000000003868,5163,3868,"Ацетилсалициловая к-та таб 0,5 г №10"
12,10613, Аримидекс 1мг №28 тб пл/о уп кнт-яч,0000000000000000000015638,5163,15638,Аримидекс таб 1 мг №28 (инд уп)
13,4164, Церепро 400мг №14 капс,0000000000000000000015356,5163,15356,Церепро капс 400 мг №14
14,5137," Нитроспрей спрей подъяз дозир 0,4мг/доза 200доз 10мл спрей",0000000000000000000015884,5163,15884,"Нитроспрей 0,4 мг/доза 200 доз 10 мл (инд уп)"
15,9330, Фуросемид 40мг №50 тб,0000000000000000000013932,5163,13932,Фуросемид таб 40 мг №50
16,15169, Бинт гипсовый 3м*10см №1,0000000000000000000001352,5163,1352,Бинт гипсовый 10х300
17,5154, Альфа-Токоферола ацетат 30% 50 мл р-р фл,0000000000000000000004869,5163,4869,Альфа-Токоферола ацетат (витамин Е) фл 300 мг/мл 50 мл р-р в масле
18,5143, Рибоксин 200мг №50 тб,0000000000000000000003390,5163,3390,Рибоксин таб 200 мг №50 (инд уп)
19,12112, Лейкопластырь 3*300 №1 катуш ,0000000000000000000008648,5163,8648,Лейкопластырь катушка 3х300 ( инд уп).
20,12135, Бисептол 480мг №28 тб,0000000000000000000017488,5163,17488,Бисептол таб 480 мг №28
21,12138, Пиона настойка 25мл №1,0000000000000000000014986,5163,14986,Пиона настойка фл 25 мл (инд уп)
22,3951, Перчатки смотр латекс диагност  н/ст опудр №50 (пар) S ,0000000000000000000009611,5163,9611,Перчатки смотровые латексные н/стер р. МАЛ (пара)
23,5467, Блоктран 50мг №30 тб п/о,0000000000000000000017905,5163,17905,Блоктран таб 50 мг №30
24,5164, Энтерофурил 100мг №30 капс,0000000000000000000018104,5163,18104,Энтерофурил капс 100 мг №30
25,9953, Ацетилсалициловая к-та 500мг №10 тб,0000000000000000000013561,5163,13561,"Ацетилсалициловая к-та таб 0,5 г №10"
26,10604, Сульфокамфокаин 100мг/мл 2мл №10 амп р-р д/ин,0000000000000000000010250,5163,10250,Сульфокамфокаин амп 2 мл №10
27,11805, Пирацетам 1200мг №20 тб пл/о,0000000000000000000017469,5163,17469,Пирацетам таб 1200 мг № 20 п/о
28,3941, Торвакард 20мг №30 тб пл/о,0000000000000000000017256,5163,17256,"Торвакард 0,02 №30 таб. п\о"
29,6214, Фенистил гель 0.1% 50г (тубы),0000000000000000000015263,5163,15263,"Фенистил  0,1% гель 50 г"
30,5111, Бетасерк 24мг №20 тб,0000000000000000000014629,5163,14629,Бетасерк таб 24 мг №20
31,5132, Дибазол - УБФ 20мг №10 тб,0000000000000000000008789,5163,8789,Дибазол таб 20 мг №10
32,6229, Клотримазол 100мг №6 тб ваг,0000000000000000000010395,5163,10395,Клотримазол таб ваг 100 мг №6
33,4145," Мидокалм Рихтер 100мг+2,5мг/мл 1мл №5 амп р-р для в/в и в/м введ",0000000000000000000014400,5163,14400,"Мидокалм-Рихтер  амп 100 мг+2,5 мг/мл 1 мл №5"
34,6191, Гевискон форте (мята) 150мл №1 сусп фл,0000000000000000000018330,5163,18330,Гевискон форте сусп фл 150 мл мятный
35,11803, Пирацетам 800мг №30 тб пл/о,0000000000000000000017466,5163,17466,Пирацетам таб 800 мг № 30 п/о банка
36,4762, Викасол 15мг №30 тб,0000000000000000000008723,5163,8723,Викасол таб 15 мг №30 (инд уп)
37,11519," Индапамид ретард 1,5мг №30 тб пролонг д-я пл/о",0000000000000000000015664,5163,15664,"Индапамид ретард таб 1,5 мг №30"
38,10058, Кардикет 20мг №20 тб пролонг д-я,0000000000000000000015980,5163,15980,Кардикет таб ретард 20 мг №20
39,10074, Бисопролол-Прана 5мг №30 тб пл/о,0000000000000000000015229,5163,15229,Бисопролол-Прана таб 5 мг №30
40,12481, Цитрамон П №20 тб,0000000000000000000019300,5163,19300,Цитрамон П таб №20
41,4803, Флуконазол 50мг №7 капс,0000000000000000000012340,5163,12340,"Флуконазол капс 0,05 г №7"
42,4804, Лоперамид 2мг №10 тб,0000000000000000000015317,5163,15317,Лоперамид таб 2 мг №10 (инд уп)
43,4826, Аскорбиновая к-та с глюкозой 100мг №10 тб,0000000000000000000013352,5163,13352,Аскорбиновая к-та таб 100 мг №10 (с глюкозой)
44,15325, Триметазидин 20мг №60 тб пл/о,0000000000000000000018793,5163,18793,Триметазидин таб 20 мг №60
45,11579, Рисперидон 4мг №20 тб пл/о,0000000000000000000018241,5163,18241,Рисперидон таб 4 мг №20
46,10089, Тенотен №40 тб д/расс,0000000000000000000011530,5163,11530,Тенотен таб д/расс №40
47,10090, Дип Рилиф 50г гель туба,0000000000000000000016930,5163,16930,Дип Рилиф гель 50 г
